,handle,tweet_id,ticker,gamma,pvalue
8,richardbranson,1187256464664154113,AAL,35.6839267056681,6.843742683483875e-12
54,elonmusk,1143678128423936000,AAPL,133.50694159607906,1.011428324152757e-05
62,elonmusk,1127276856476987392,AAPL,79.5707785416461,0.00021829248618194695
406,richardbranson,1174626364500119554,DAL,17.956192549183996,0.0005099097138222404
549,elonmusk,1283498482150641667,FOX,123.51224766472865,1.1016501036899843e-17
550,elonmusk,1283498475238363138,FOX,125.36776447620538,1.1016501036868753e-17
599,richardbranson,1009057004554420224,FOX,67.60756812539145,0.00014036520437036418
764,elonmusk,1143678128423936000,LMT,18.059410465280397,0.03332658821938771
781,richardbranson,1187256464664154113,LVS,30.6649106637006,6.227611213677354e-08
799,richardbranson,1174626364500119554,MGM,32.39097392565544,0.001704615319478926
821,realDonaldTrump,1329404785083232256,MRNA,47.250136426196654,1.680195365496803e-13
851,elonmusk,1194761922572361729,MSFT,12.405044710484496,4.53571108717246e-05
872,elonmusk,1127276856476987392,MSFT,74.65864770057995,3.859427166543778e-114
878,elonmusk,1114933691115921408,MSFT,11.0853461829084,0.00026796845749601524
883,richardbranson,1174677073845215235,MSFT,18.99682621769635,4.2207927347419213e-10
884,richardbranson,1174626364500119554,MSFT,21.678901539694024,4.2207927347409375e-10
895,richardbranson,1009057004554420224,MSFT,7.904908677587436,0.034758278777566945
977,nntaleb,1254427322452783105,NVAX,27.037199163066475,1.3846828026258686e-06
1008,elonmusk,1194761922572361729,PINS,10.397058079591089,0.001264485444392792
1040,richardbranson,1174677073845215235,PINS,8.551497113452463,0.00800920407948007
1041,richardbranson,1174626364500119554,PINS,9.75884402030946,0.008009204079490573
1081,jack,1311052005918388224,PYPL,21.42884547207983,0.0011369644411634453
1093,jack,1311052005918388224,SHOP,27.68074035008833,3.087443940754761e-05
1120,elonmusk,1283498482150641667,SHOP,32.53362945120215,1.081002264151195e-08
1121,elonmusk,1283498475238363138,SHOP,33.02238014215675,1.081002264149701e-08
1129,elonmusk,1194761922572361729,SHOP,42.36078804274912,9.708834421602108e-14
1147,elonmusk,1131393271400259584,SHOP,64.8464189940169,5.2680085483853396e-30
1167,richardbranson,1152835756152500224,SHOP,27.83855602725861,1.4179331003725308e-06
1173,richardbranson,1009057004554420224,SHOP,310.60128185574376,0.0
1252,elonmusk,1120872301178671105,SNAP,83.53786438828122,2.0227746512947792e-51
1259,richardbranson,1174677073845215235,SNAP,37.19968864597356,1.8585697461931835e-11
1260,richardbranson,1174626364500119554,SNAP,42.45174316089775,1.858569746192334e-11
1265,richardbranson,1152835756152500224,SNAP,75.51767067284439,3.4669225584863253e-41
1271,richardbranson,1009057004554420224,SNAP,26.00228525876567,0.0001368669709199877
1352,elonmusk,1146392791062212608,TSLA,150.13761211282065,9.571517166518998e-32
1381,elonmusk,1131393271400259584,WKHS,22.37521351557221,0.004564883753666037
1401,richardbranson,1187256464664154113,WYNN,14.174366875199247,0.02175070253871191
1403,richardbranson,1174626364500119554,WYNN,287.0542238090402,0.0
1425,elonmusk,1131393271400259584,XOM,124.7011047952147,0.0
